patch_length_mm,reflection_phase_deg,reflection_mag
1.5,18.277043086379212,0.9549998493982641
1.5275,18.55027118462091,0.9549792030468425
1.555,18.846023668544472,0.9549174491613417
1.5825,19.16611296781732,0.954814730573843
1.61,19.512489662476423,0.9546712896218368
1.6375,19.88725167836952,0.9544874618535784
1.665,20.292653857363113,0.9542636672656826
1.6925,20.7311178712852,0.9540003983517232
1.72,21.205242436921587,0.9536982040515916
1.7475,21.717813775656197,0.9533576684740197
1.775,22.271816245288807,0.9529793830236941
1.8025,22.870443052917892,0.9525639103093357
1.83,23.51710693628198,0.9521117379558461
1.8575,24.215450676357566,0.951623220215741
1.885,24.969357276082192,0.9510985051052383
1.9125,25.78295960861295,0.9505374447209998
1.94,26.660649303405002,0.949939486476948
1.9675,27.60708459954773,0.9493035432978506
1.995,28.62719685329004,0.9486278413846024
2.0225,29.726195340737938,0.9479097450941008
2.05,30.909569947733686,0.9471455598179327
2.0775,32.18309128759718,0.9463303155486191
2.105,33.55280773470835,0.9454575361150244
2.1325,35.025038809192736,0.9445190018380136
2.16,36.60636429704229,0.9435045165422097
2.1875,38.30360844317204,0.9424016933370722
2.215,40.123818515064805,0.9411957771573112
2.2425,42.07423700529369,0.9398695254608045
2.27,44.16226672649138,0.9384031713813873
2.2975,46.395428057051184,0.9367744956228912
2.325,48.78130762538586,0.9349590340194394
2.3525,51.32749778080543,0.9329304465288707
2.38,54.041526296157144,0.9306610700620023
2.4074999999999998,56.930775887453876,0.9281226716596462
2.435,60.002393324566384,0.9252874099359285
2.4625,63.2631881495226,0.9221290014343967
2.49,66.71952131837273,0.9186240748639031
2.5175,70.37718443999333,0.9147536806452993
2.545,74.2412706986118,0.9105049066484573
2.5725,78.31603901030184,0.905872534543921
2.6,82.60477346663748,0.9008606561659139
2.6275,87.10964064516219,0.8954841571487528
2.6550000000000002,91.83154789473159,0.8897699673397742
2.6825,96.770006206861,0.8837579754694624
2.71,101.92300172963219,0.8775015103607131
2.7375,107.28688033227742,0.8710673032495657
2.7649999999999997,112.856249848146,0.8645348656854843
2.7925,118.62390467392278,0.8579952444578208
2.8200000000000003,124.5807772502419,0.8515491478590738
2.8475,130.71592056736205,0.8453044745012407
2.875,137.0165252148577,0.8393733144569179
2.9025,143.46797362665822,0.833868529926084
2.9299999999999997,150.05393307997073,0.8289000559935629
2.9575,156.75648772513685,0.8245710884957448
2.9850000000000003,163.5563085081605,0.8209743430762928
3.0125,170.43285836942928,0.818188575314112
3.04,177.3646286437069,0.8162755453131643
3.0675,184.32940123622905,0.8152775912776868
3.0949999999999998,191.30452999460684,0.8152159462979279
3.1225,198.2672338139459,0.8160898927481615
3.15,205.19489346438002,0.8178768020817482
3.1775,212.06534395491653,0.8205330577245918
3.205,218.85715445762085,0.8239958088522336
3.2325,225.5498883967305,0.828185456705959
3.26,232.12433721720575,0.8330087360439155
3.2875,238.5627225235026,0.8383622249990287
3.315,244.84886264310043,0.8441360988505525
3.3425000000000002,250.96830113317685,0.8502179378585111
3.37,256.90839622459515,0.8564964061937774
3.3975,262.65837160323633,0.8628646369994761
3.425,268.2093301950331,0.8692231858110244
3.4524999999999997,273.5542336946193,0.8754824484165724
3.48,278.6878514235027,0.8815644768918952
3.5075,283.6066827060349,0.8874041660594195
3.535,288.30885731134265,0.8929498192507863
3.5625,292.79401864245216,0.8981631346481078
3.59,297.06319428680706,0.9030186798529275
3.6175,301.1186583092122,0.9075029415476317
3.645,304.96378930658136,0.9116130487096228
3.6725,308.60292779174733,0.915355271984461
3.7,312.0412359669574,0.9187433992299379
3.7275,315.2845624184012,0.9217970790269906
3.755,318.33931373798754,0.9245402114935343
3.7825,321.2123345786587,0.9269994505204406
3.81,323.91079719025333,0.929202865032495
3.8375,326.44210107442814,0.9311787903756006
3.865,328.8137830449784,0.9329548855336803
3.8925,331.0334376857395,0.9345573983994463
3.92,333.1086479608265,0.936010630287235
3.9475000000000002,335.0469255477691,0.9373365825306025
3.975,336.8556603281734,0.9385547623558941
4.0024999999999995,338.54207837706764,0.9396821220741384
4.029999999999999,340.11320773489354,0.9407331046564248
4.0575,341.5758512190606,0.9417197695377129
4.085,342.936565529241,0.9426519745833707
4.1125,344.2016459168294,0.9435375931137665
4.140000000000001,345.37711571946403,0.9443827483185401
4.1675,346.4687201021274,0.9451920509696615
4.195,347.48192339365784,0.9459688297998192
4.2225,348.42190945868253,0.9467153470635556
4.25,349.2935845977666,0.9474329945262157
4.2775,350.1015825211994,0.9481224673738796
4.305,350.85027099298725,0.9487839152981814
4.3325,351.5437597903483,0.9494170713111436
4.359999999999999,352.1859096696497,0.9500213597383803
4.3875,352.7803420719106,0.9505959853886915
4.415,353.3304493395028,0.9511400061730304
4.4425,353.83940525046773,0.9516523915127998
4.470000000000001,354.3101757080019,0.9521320687967592
4.4975000000000005,354.745529450279,0.9525779599689677
4.525,355.1480486700803,0.9529890100986548
4.5525,355.52013945493,0.9533642095285185
4.58,355.86404197683163,0.9537026109435145
4.6075,356.1818403765369,0.9540033424629649
4.635,356.4754723008061,0.9542656176438252
4.6625,356.7467380625935,0.9544887430965329
4.6899999999999995,356.99730940374167,0.9546721242579783
4.717499999999999,357.22873784782246,0.9548152697374721
4.745,357.4424626374207,0.9549177945484345
4.7725,357.639818255597,0.9549794224575898
4.8,357.82204153566954,0.9549999876211307
