patch_length_mm,reflection_phase_deg
1.5,18.277043086379212
1.5275,18.55027118462091
1.555,18.846023668544472
1.5825,19.16611296781732
1.61,19.512489662476423
1.6375,19.88725167836952
1.665,20.292653857363113
1.6925,20.7311178712852
1.72,21.205242436921587
1.7475,21.717813775656197
1.775,22.271816245288807
1.8025,22.870443052917892
1.83,23.51710693628198
1.8575,24.215450676357566
1.885,24.969357276082192
1.9125,25.78295960861295
1.94,26.660649303405002
1.9675,27.60708459954773
1.995,28.62719685329004
2.0225,29.726195340737938
2.05,30.909569947733686
2.0775,32.18309128759718
2.105,33.55280773470835
2.1325,35.025038809192736
2.16,36.60636429704229
2.1875,38.30360844317204
2.215,40.123818515064805
2.2425,42.07423700529369
2.27,44.16226672649138
2.2975,46.395428057051184
2.325,48.78130762538586
2.3525,51.32749778080543
2.38,54.041526296157144
2.4074999999999998,56.930775887453876
2.435,60.002393324566384
2.4625,63.2631881495226
2.49,66.71952131837273
2.5175,70.37718443999333
2.545,74.2412706986118
2.5725,78.31603901030184
2.6,82.60477346663748
2.6275,87.10964064516219
2.6550000000000002,91.83154789473159
2.6825,96.770006206861
2.71,101.92300172963219
2.7375,107.28688033227742
2.7649999999999997,112.856249848146
2.7925,118.62390467392278
2.8200000000000003,124.5807772502419
2.8475,130.71592056736205
2.875,137.0165252148577
2.9025,143.46797362665822
2.9299999999999997,150.05393307997073
2.9575,156.75648772513685
2.9850000000000003,163.5563085081605
3.0125,170.43285836942928
3.04,177.3646286437069
3.0675,184.32940123622905
3.0949999999999998,191.30452999460684
3.1225,198.2672338139459
3.15,205.19489346438002
3.1775,212.06534395491653
3.205,218.85715445762085
3.2325,225.5498883967305
3.26,232.12433721720575
3.2875,238.5627225235026
3.315,244.84886264310043
3.3425000000000002,250.96830113317685
3.37,256.90839622459515
3.3975,262.65837160323633
3.425,268.2093301950331
3.4524999999999997,273.5542336946193
3.48,278.6878514235027
3.5075,283.6066827060349
3.535,288.30885731134265
3.5625,292.79401864245216
3.59,297.06319428680706
3.6175,301.1186583092122
3.645,304.96378930658136
3.6725,308.60292779174733
3.7,312.0412359669574
3.7275,315.2845624184012
3.755,318.33931373798754
3.7825,321.2123345786587
3.81,323.91079719025333
3.8375,326.44210107442814
3.865,328.8137830449784
3.8925,331.0334376857395
3.92,333.1086479608265
3.9475000000000002,335.0469255477691
3.975,336.8556603281734
4.0024999999999995,338.54207837706764
4.029999999999999,340.11320773489354
4.0575,341.5758512190606
4.085,342.936565529241
4.1125,344.2016459168294
4.140000000000001,345.37711571946403
4.1675,346.4687201021274
4.195,347.48192339365784
4.2225,348.42190945868253
4.25,349.2935845977666
4.2775,350.1015825211994
4.305,350.85027099298725
4.3325,351.5437597903483
4.359999999999999,352.1859096696497
4.3875,352.7803420719106
4.415,353.3304493395028
4.4425,353.83940525046773
4.470000000000001,354.3101757080019
4.4975000000000005,354.745529450279
4.525,355.1480486700803
4.5525,355.52013945493
4.58,355.86404197683163
4.6075,356.1818403765369
4.635,356.4754723008061
4.6625,356.7467380625935
4.6899999999999995,356.99730940374167
4.717499999999999,357.22873784782246
4.745,357.4424626374207
4.7725,357.639818255597
4.8,357.82204153566954
